         234878 function calls (229087 primitive calls) in 0.521 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.000    0.000 core.py:890(__init__)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.002    0.002 expr.py:2(<module>)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       28    0.000    0.000    0.001    0.000 ipaddress.py:2160(__init__)
        3    0.000    0.000    0.006    0.002 numeric.py:1(<module>)
      233    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.001    0.001 strings.py:1882(StringMethods)
        1    0.000    0.000    0.003    0.003 frame.py:248(DataFrame)
      547    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
        1    0.000    0.000    0.002    0.002 numerictypes.py:81(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x118bc6268}
        1    0.000    0.000    0.011    0.011 typing.py:1(<module>)
       33    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
       77    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
    28/15    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
       75    0.000    0.000    0.010    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.000    0.000 stata.py:720(StataMissingValue)
      127    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
      248    0.000    0.000    0.000    0.000 ops.py:326(_get_op_name)
        1    0.000    0.000    0.001    0.001 base.py:183(Index)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        6    0.000    0.000    0.000    0.000 getlimits.py:65(__init__)
        1    0.000    0.000    0.126    0.126 __init__.py:106(<module>)
        5    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
      413    0.000    0.000    0.000    0.000 generic.py:7(_check)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
      728    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
      329    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      937    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        4    0.000    0.000    0.000    0.000 numeric.py:2916(extend_all)
      238    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
       34    0.000    0.000    0.000    0.000 typing.py:896(_no_slots_copy)
       84    0.000    0.000    0.000    0.000 ops.py:623(_make_flex_doc)
      243    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       94    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1460(__init__)
   121/75    0.000    0.000    0.000    0.000 typing.py:336(_get_type_vars)
    90/63    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
       45    0.000    0.000    0.000    0.000 enum.py:417(_get_mixins_)
        1    0.000    0.000    0.000    0.000 period.py:125(PeriodIndex)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1631(_ip_int_from_string)
        1    0.000    0.000    0.003    0.003 datetimes.py:2(<module>)
        1    0.000    0.000    0.004    0.004 parsers.py:3(<module>)
       33    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
       16    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
      222    0.000    0.000    0.001    0.000 re.py:169(match)
       34    0.000    0.000    0.000    0.000 groupby.py:3348(_whitelist_method_generator)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
       75    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
        3    0.000    0.000    0.017    0.006 common.py:1(<module>)
       54    0.000    0.000    0.000    0.000 accessor.py:72(_create_delegator_property)
      340    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       90    0.000    0.000    0.006    0.000 typing.py:133(__new__)
        1    0.000    0.000    0.006    0.006 pytables.py:4(<module>)
